model_slug,lucid_main_task_mean,p12_mean,delta_vs_main_task
claude-haiku-4-5-20251001,0.8337500000000001,0.79025,-0.043500000000000094
claude-opus-4-1-20250805,0.8954166666666667,0.9237500000000001,0.02833333333333332
claude-opus-4-5-20251101,0.6654166666666668,0.7387083333333333,0.07329166666666653
claude-opus-4-6-default,0.6599166666666667,0.7255208333333333,0.06560416666666657
claude-sonnet-4-20250514,0.8991666666666669,0.9240625000000001,0.024895833333333228
claude-sonnet-4-5-20250929,0.8949166666666669,0.8888541666666668,-0.006062500000000082
claude-sonnet-4-6-default,0.6766666666666667,0.7385833333333333,0.06191666666666651
deepseek-v3.1,0.46625000000000005,0.7093750000000001,0.24312500000000004
deepseek-v3.2,0.6512500000000001,0.7722916666666668,0.12104166666666671
gemini-2.0-flash-001,0.6804166666666668,0.6906249999999999,0.010208333333333153
gemini-2.0-flash-lite-001,0.6654166666666667,0.6928124999999999,0.027395833333333286
gemini-2.5-flash,0.6479166666666667,0.6746875,0.0267708333333333
gemini-2.5-pro,0.8929166666666668,0.8954166666666667,0.0024999999999999467
gemini-3-flash-preview,0.6379166666666667,0.6784374999999999,0.04052083333333323
gemini-3.1-flash-lite-preview,0.6554166666666666,0.676875,0.021458333333333357
gemini-3.1-pro-preview,0.6629166666666667,0.6621875,-0.0007291666666666696
gemma-3-12b-it,0.6744166666666667,0.6119375000000001,-0.06247916666666653
gemma-3-1b-it,0.45875,0.5001041666666667,0.04135416666666669
gemma-3-27b-it,0.6771666666666666,0.6508333333333334,-0.02633333333333321
gemma-3-4b-it,0.4675,0.4829583333333334,0.015458333333333352
gemma-4-26b-a4b-it,0.6529166666666667,0.6771875,0.024270833333333353
gemma-4-31b-it,0.6479166666666667,0.6746875,0.0267708333333333
glm-5,0.8929166666666668,0.6746875,-0.2182291666666668
gpt-5.4-2026-03-05,0.6611666666666668,0.686375,0.025208333333333166
gpt-5.4-mini-2026-03-17,0.8934166666666669,0.6498541666666666,-0.24356250000000024
gpt-5.4-nano-2026-03-17,0.7456666666666667,0.5812083333333334,-0.16445833333333326
gpt-oss-20b,0.7225833333333335,0.6913541666666667,-0.031229166666666752
qwen3-235b-a22b-instruct-2507,0.6791666666666667,0.6772916666666667,-0.00187499999999996
qwen3-coder-480b-a35b-instruct,0.8941666666666669,0.8536458333333335,-0.04052083333333334
qwen3-next-80b-a3b-instruct,0.6704166666666667,0.6934375,0.02302083333333338
qwen3-next-80b-a3b-thinking,0.6504166666666668,0.6753125,0.024895833333333228
